Ward,Votes,Registered,RAHM EMANUEL ,EMANUEL_PERC,WILLIE WILSON ,WILSON_PERC,ROBERT W. FIORETTI ,FIORETTI_PERC,JESUS ''CHUY'' GARCIA ,GARCIA_PERC,"WILLIAM WALLS, III ",WALLS_PERC
1,8458,29232,3349,0.396,260,0.0307,618,0.0731,4128,0.4881,103,0.0122
2,10434,32438,6727,0.6447,331,0.0317,863,0.0827,2428,0.2327,85,0.0081
3,10645,32142,5223,0.4907,1768,0.1661,954,0.0896,2211,0.2077,489,0.0459
4,11958,30651,5329,0.4456,1703,0.1424,942,0.0788,3396,0.284,588,0.0492
5,11563,29321,5088,0.44,1494,0.1292,533,0.0461,3890,0.3364,558,0.0483
6,11033,33658,4703,0.4263,2569,0.2328,519,0.047,2525,0.2289,717,0.065
7,10718,32415,4690,0.4376,2294,0.214,439,0.041,2595,0.2421,700,0.0653
8,13686,37496,5938,0.4339,2987,0.2183,569,0.0416,3289,0.2403,903,0.066
9,11978,36454,5186,0.433,2873,0.2399,517,0.0432,2625,0.2192,777,0.0649
10,9501,25572,3586,0.3774,482,0.0507,816,0.0859,4501,0.4737,116,0.0122
11,9629,25470,4711,0.4893,253,0.0263,1440,0.1495,3140,0.3261,85,0.0088
12,4997,17930,1284,0.257,96,0.0192,241,0.0482,3335,0.6674,41,0.0082
13,11187,23932,5822,0.5204,210,0.0188,1021,0.0913,4067,0.3635,67,0.006
14,6036,17822,2293,0.3799,107,0.0177,448,0.0742,3151,0.522,37,0.0061
15,4673,18233,1403,0.3002,599,0.1282,156,0.0334,2394,0.5123,121,0.0259
16,6146,26071,2451,0.3988,1641,0.267,211,0.0343,1552,0.2525,291,0.0473
17,8729,30599,3499,0.4008,2313,0.265,323,0.037,2092,0.2397,502,0.0575
18,12294,31783,4794,0.3899,2043,0.1662,800,0.0651,3988,0.3244,669,0.0544
19,18147,35016,7613,0.4195,1139,0.0628,"2,503",0.1379,6509,0.3587,383,0.0211
20,6918,25662,2808,0.4059,1693,0.2447,231,0.0334,1798,0.2599,388,0.0561
21,13389,38244,5698,0.4256,3249,0.2427,533,0.0398,2973,0.222,936,0.0699
22,5322,18907,1127,0.2118,279,0.0524,137,0.0257,3711,0.6973,68,0.0128
23,9625,22399,3868,0.4019,232,0.0241,1308,0.1359,4165,0.4327,52,0.0054
24,7268,26850,2653,0.365,2209,0.3039,324,0.0446,1701,0.234,381,0.0524
25,7742,25194,2586,0.334,263,0.034,497,0.0642,4331,0.5594,65,0.0084
26,6790,24709,2331,0.3433,359,0.0529,348,0.0513,3665,0.5398,87,0.0128
27,8827,32087,4291,0.4861,1640,0.1858,695,0.0787,1911,0.2165,290,0.0329
28,7725,32409,3084,0.3992,2043,0.2645,596,0.0772,1682,0.2177,320,0.0414
29,11103,34515,4662,0.4199,2460,0.2216,723,0.0651,2748,0.2475,510,0.0459
30,5096,21339,2018,0.396,149,0.0292,391,0.0767,2489,0.4884,49,0.0096
31,5863,21429,2381,0.4061,141,0.024,291,0.0496,2996,0.511,54,0.0092
32,8634,30469,4111,0.4761,188,0.0218,712,0.0825,3559,0.4122,64,0.0074
33,8325,22909,3332,0.4002,272,0.0327,532,0.0639,4084,0.4906,105,0.0126
34,12586,38472,5722,0.4546,3127,0.2485,413,0.0328,2581,0.2051,743,0.059
35,6274,21846,2110,0.3363,188,0.03,336,0.0536,3580,0.5706,60,0.0096
36,6055,21293,2380,0.3931,281,0.0464,611,0.1009,2731,0.451,52,0.0086
37,8373,31338,3465,0.4138,2372,0.2833,373,0.0445,1754,0.2095,409,0.0488
38,11246,29593,5408,0.4809,315,0.028,1705,0.1516,3723,0.3311,95,0.0084
39,11342,29135,5499,0.4848,355,0.0313,1187,0.1047,4202,0.3705,99,0.0087
40,9805,27800,4634,0.4726,300,0.0306,636,0.0649,4136,0.4218,99,0.0101
41,14965,34339,7153,0.478,451,0.0301,2644,0.1767,4605,0.3077,112,0.0075
42,8920,31309,6558,0.7352,262,0.0294,548,0.0614,1476,0.1655,76,0.0085
43,10571,30254,7608,0.7197,283,0.0268,665,0.0629,1938,0.1833,77,0.0073
44,9424,29803,6055,0.6425,211,0.0224,554,0.0588,2543,0.2698,61,0.0065
45,12991,31191,6243,0.4806,406,0.0313,1682,0.1295,4545,0.3499,115,0.0089
46,10563,28676,6079,0.5755,520,0.0492,518,0.049,3316,0.3139,130,0.0123
47,12488,33218,6427,0.5147,267,0.0214,721,0.0577,4985,0.3992,88,0.007
48,11286,29787,5906,0.5233,450,0.0399,560,0.0496,4220,0.3739,150,0.0133
49,8936,25105,3941,0.441,492,0.0551,431,0.0482,3893,0.4357,179,0.02
50,7940,24914,4390,0.5529,341,0.0429,548,0.069,2557,0.322,104,0.0131
