Ward,Votes,Registered,RAHM EMANUEL ,EMANUEL_PERC,JESUS ''CHUY'' GARCIA ,GARCIA_PERC
1,10727,29907,4748,0.4426,5979,0.5574
2,14164,33066,10931,0.7717,3233,0.2283
3,12919,32680,8557,0.6624,4362,0.3376
4,13997,31155,8244,0.589,5753,0.411
5,13276,29778,7322,0.5515,5954,0.4485
6,12315,33994,7000,0.5684,5315,0.4316
7,12305,32778,6948,0.5646,5357,0.4354
8,15626,37765,9143,0.5851,6483,0.4149
9,13276,36733,7728,0.5821,5548,0.4179
10,11623,25931,4672,0.402,6951,0.598
11,12508,26035,7679,0.6139,4829,0.3861
12,6961,18185,1757,0.2524,5204,0.7476
13,14182,24298,7887,0.5561,6295,0.4439
14,8317,18088,2962,0.3561,5355,0.6439
15,6347,18478,2014,0.3173,4333,0.6827
16,7795,26365,4023,0.5161,3772,0.4839
17,9943,30780,5484,0.5515,4459,0.4485
18,14672,32066,7571,0.516,7101,0.484
19,20144,35346,11972,0.5943,8172,0.4057
20,8088,26003,4355,0.5385,3733,0.4615
21,15072,38481,8864,0.5881,6208,0.4119
22,7429,19135,1458,0.1963,5971,0.8037
23,11312,22767,4905,0.4336,6407,0.5664
24,8126,27179,4253,0.5234,3873,0.4766
25,9974,25731,3839,0.3849,6135,0.6151
26,8510,25181,2962,0.3481,5548,0.6519
27,10493,32605,6705,0.639,3788,0.361
28,9411,32829,5416,0.5755,3995,0.4245
29,13176,34881,7546,0.5727,5630,0.4273
30,7490,21605,3067,0.4095,4423,0.5905
31,8457,21792,3192,0.3774,5265,0.6226
32,12529,31084,7808,0.6232,4721,0.3768
33,9937,23324,4412,0.444,5525,0.556
34,14037,38714,8616,0.6138,5421,0.3862
35,8071,22243,2769,0.3431,5302,0.6569
36,8398,21593,3551,0.4228,4847,0.5772
37,10160,31608,5943,0.5849,4217,0.4151
38,12738,29900,7648,0.6004,5090,0.3996
39,13133,29503,7671,0.5841,5462,0.4159
40,12216,28228,6528,0.5344,5688,0.4656
41,18773,34797,12007,0.6396,6766,0.3604
42,13545,31924,11504,0.8493,2041,0.1507
43,14789,30874,12335,0.8341,2454,0.1659
44,13183,30377,10063,0.7633,3120,0.2367
45,15768,31649,9341,0.5924,6427,0.4076
46,13487,29349,8723,0.6468,4764,0.3532
47,16149,33807,10169,0.6297,5980,0.3703
48,14326,30279,8503,0.5935,5823,0.4065
49,10598,25550,5127,0.4838,5471,0.5162
50,10261,25217,6249,0.609,4012,0.391
